Test Name = Noise Test S/N: 2118112119H001003942

[IDENTIFICATION TEXT]
Date & Time	27/08/2021 - 17:06:51
Final Result	PASS
Version Number	 - 
Model Number	MX923001
Model Type	LIN
BarCode	2118112119H001003942
UTT Code	No UTT
UTT Description	No UTT
Software ID	MX923001_8600rpm_20_Bands_LIMITS_05_January.pro
TST folder	2118112119H001003942_TST_2021-08-27_17-06-51_
TDM folder	2118112119H001003942_TDM_2021-08-27_17-06-51_
[IDENTIFICATION TEXT END]

[IDENTIFICATION COLOR]
16448250	16448250
16448250	6618880
16448250	16448250
16448250	16448250
16448250	16448250
16448250	16448250
16448250	16448250
[IDENTIFICATION COLOR END]

[RESULTS TEXT]
ELECTRICAL SAFETY	 	 	 	 	 	 
Narrow Band TOP Y t3_t4_Band_5	40.105	m/s^2	517.531	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_6	12.740	m/s^2	265.778	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_7	3.238	m/s^2	79.379	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_8	1.710	m/s^2	71.243	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_9	1.430	m/s^2	36.375	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_10	0.710	m/s^2	15.438	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_11	0.687	m/s^2	15.919	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_12	0.201	m/s^2	9.555	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_13	0.510	m/s^2	6.780	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_14	0.191	m/s^2	10.969	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_15	0.334	m/s^2	8.699	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_16	0.173	m/s^2	10.952	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_17	0.203	m/s^2	9.362	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_18	0.170	m/s^2	8.529	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_19	0.208	m/s^2	8.554	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_0	4.893	m/s^2	42.335	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_1	3.870	m/s^2	90.679	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_2	2.091	m/s^2	46.402	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_3	1.104	m/s^2	30.943	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_4	1.483	m/s^2	48.981	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_5	4.407	m/s^2	79.068	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_6	1.585	m/s^2	86.971	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_7	2.794	m/s^2	55.565	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_8	4.805	m/s^2	85.816	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_9	5.968	m/s^2	90.556	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_10	4.231	m/s^2	40.864	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_11	2.560	m/s^2	41.050	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_12	0.232	m/s^2	46.831	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_13	1.950	m/s^2	36.071	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_14	1.184	m/s^2	27.680	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_15	0.480	m/s^2	26.493	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_16	0.888	m/s^2	26.811	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_17	1.388	m/s^2	58.673	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_18	1.189	m/s^2	70.721	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_19	1.209	m/s^2	35.317	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_0	3.742	m/s^2	78.438	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_1	4.570	m/s^2	110.627	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_2	4.180	m/s^2	67.831	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_3	5.854	m/s^2	36.854	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_4	9.916	m/s^2	64.374	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_5	6.153	m/s^2	63.080	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_6	5.258	m/s^2	125.466	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_7	2.917	m/s^2	58.708	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_8	6.479	m/s^2	42.357	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_9	5.200	m/s^2	46.695	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_10	2.671	m/s^2	84.653	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_11	0.373	m/s^2	67.222	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_12	2.159	m/s^2	56.067	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_13	2.929	m/s^2	15.886	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_14	2.219	m/s^2	14.415	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_15	5.454	m/s^2	8.449	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_16	0.580	m/s^2	13.893	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_17	2.955	m/s^2	28.098	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_18	1.600	m/s^2	29.522	0.000	0	Pass
Narrow Band BOTT X t3_t4_Band_19	1.125	m/s^2	14.626	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_0	0.335	m/s^2	37.494	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_1	2.245	m/s^2	94.225	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_2	4.263	m/s^2	76.938	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_3	5.520	m/s^2	47.829	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_4	4.885	m/s^2	166.828	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_5	4.403	m/s^2	180.369	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_6	6.134	m/s^2	194.501	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_7	6.181	m/s^2	85.026	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_8	8.118	m/s^2	119.687	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_9	7.128	m/s^2	100.404	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_10	3.828	m/s^2	96.810	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_11	1.288	m/s^2	58.523	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_12	3.270	m/s^2	84.219	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_13	6.134	m/s^2	79.716	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_14	4.495	m/s^2	88.882	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_15	10.504	m/s^2	53.201	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_16	1.401	m/s^2	129.842	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_17	3.777	m/s^2	107.537	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_18	1.038	m/s^2	106.569	0.000	0	Pass
Narrow Band BOTT Y t3_t4_Band_19	1.293	m/s^2	70.861	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_0	7.491	m/s^2	62.516	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_1	2.885	m/s^2	63.877	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_2	1.291	m/s^2	100.759	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_3	1.107	m/s^2	73.638	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_4	6.444	m/s^2	125.888	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_5	1.561	m/s^2	148.492	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_6	8.147	m/s^2	188.120	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_7	9.723	m/s^2	120.923	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_8	7.863	m/s^2	125.125	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_9	6.925	m/s^2	160.922	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_10	4.533	m/s^2	133.574	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_11	4.372	m/s^2	98.994	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_12	2.194	m/s^2	107.761	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_13	6.448	m/s^2	117.685	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_14	3.669	m/s^2	108.747	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_15	6.864	m/s^2	89.969	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_16	1.566	m/s^2	162.826	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_17	2.639	m/s^2	119.910	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_18	0.858	m/s^2	139.891	0.000	0	Pass
Narrow Band BOTT Z t3_t4_Band_19	1.944	m/s^2	90.479	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_0	3.149	m/s^2	82.135	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_1	1.842	m/s^2	83.354	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_2	4.465	m/s^2	23.394	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_3	1.315	m/s^2	23.267	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_4	3.480	m/s^2	61.521	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_5	3.110	m/s^2	69.482	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_6	0.406	m/s^2	38.462	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_7	1.468	m/s^2	45.713	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_8	4.700	m/s^2	65.975	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_9	3.533	m/s^2	71.525	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_10	0.854	m/s^2	60.264	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_11	0.666	m/s^2	30.293	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_12	1.040	m/s^2	18.137	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_13	1.305	m/s^2	17.384	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_14	0.665	m/s^2	26.907	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_15	0.526	m/s^2	26.019	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_16	0.997	m/s^2	40.345	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_17	0.285	m/s^2	40.518	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_18	0.681	m/s^2	54.678	0.000	0	Pass
Narrow Band REAR X t3_t4_Band_19	0.566	m/s^2	25.834	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_0	0.423	m/s^2	48.668	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_1	0.632	m/s^2	105.974	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_2	1.305	m/s^2	55.921	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_3	1.687	m/s^2	33.001	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_4	2.219	m/s^2	76.883	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_5	0.533	m/s^2	75.338	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_6	1.940	m/s^2	72.378	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_7	0.834	m/s^2	55.804	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_8	2.803	m/s^2	66.481	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_9	3.740	m/s^2	56.902	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_10	1.651	m/s^2	48.683	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_11	0.836	m/s^2	29.390	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_12	0.362	m/s^2	24.410	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_13	1.554	m/s^2	22.483	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_14	0.673	m/s^2	20.531	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_15	0.828	m/s^2	19.800	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_16	0.919	m/s^2	40.378	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_17	1.840	m/s^2	49.550	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_18	0.600	m/s^2	35.054	0.000	0	Pass
Narrow Band REAR Y t3_t4_Band_19	0.883	m/s^2	25.688	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_0	1.049	m/s^2	81.287	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_1	5.781	m/s^2	119.887	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_2	0.527	m/s^2	67.401	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_3	2.360	m/s^2	146.700	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_4	1.228	m/s^2	103.249	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_5	3.623	m/s^2	106.648	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_6	3.218	m/s^2	46.180	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_7	1.524	m/s^2	61.876	0.000	0	Pass
