Test Name = Noise Test S/N: 2118213119H001004025

[IDENTIFICATION TEXT]
Date & Time	27/08/2021 - 16:43:55
Final Result	PASS
Version Number	 - 
Model Number	MX923001
Model Type	LIN
BarCode	2118213119H001004025
UTT Code	No UTT
UTT Description	No UTT
Software ID	MX923001_8600rpm_20_Bands_LIMITS_05_January.pro
TST folder	2118213119H001004025_TST_2021-08-27_16-43-55_
TDM folder	2118213119H001004025_TDM_2021-08-27_16-43-55_
[IDENTIFICATION TEXT END]

[IDENTIFICATION COLOR]
16448250	16448250
16448250	6618880
16448250	16448250
16448250	16448250
16448250	16448250
16448250	16448250
16448250	16448250
[IDENTIFICATION COLOR END]

[RESULTS TEXT]
ELECTRICAL SAFETY	 	 	 	 	 	 
Test Summary						Pass
Result Ground Bond Test	13.000	miliOhms	65.000	0.000	0	Pass
ELECTRICAL SAFETY	 	 	 	 	 	 
Test Summary						Pass
Result Ground Continuity Test	0.110	Ohms	0.650	0.000	0	Pass
ELECTRICAL SAFETY	 	 	 	 	 	 
Test Summary						Pass
Result Interlock 1 Continuity Test	0.290	Ohms	0.650	0.000	0	Pass
ELECTRICAL SAFETY	 	 	 	 	 	 
Test Summary						Pass
Result Interlock 2 Continuity Test	0.380	Ohms	0.650	0.000	0	Pass
Xnet Communications	 	 	 	 	 	 
Inverter FW Version	726					Pass
Inverter SN	105799					Pass
Test Summary						Pass
ELECTRICAL SAFETY	 	 	 	 	 	 
Test Summary						Pass
Result Isolation Resistance Test	321.300	MegaOhms	50000.000	75.000	0	Pass
Functional Sequence	 	 	 	 	 	 
Reseteable DTC T2						Pass
Non Reseteable DTC T2						Pass
Functional Sequence	 	 	 	 	 	 
Reseteable DTC T1						Pass
Non Reseteable DTC T1						Pass
Functional Sequence	 	 	 	 	 	 
Reseteable DTC T3						Pass
Non Reseteable DTC T3						Pass
TIME MARK	 	 	 	 	 	 
ta - t0 (s)	23.602	s	400.000	0.000	0	Pass
t0 - t2 (s)	7.977	s	12.000	0.000	0	Pass
t1 - t6 (s)	10.203	s	400.000	0.000	0	Pass
t3 - t4 (s)	3.523	s	400.000	0.000	0	Pass
(T3-T4) Functional Test Signals	 	 	 	 	 	 
Test Summary						Pass
Suction pressure	2.872	bar	4.850	0.500	0	Pass
Discharge Pressure	17.220	bar	17.600	17.000	0	Pass
Suction Flow	0.862	m3/min	0.950	0.830	0	Pass
Discharge Flow	0.111	m3/min	0.500	0.050	0	Pass
HV Voltage	298.216	Volts	303.000	297.000	0	Pass
LV Voltage	13.741	Volts	14.750	11.750	0	Pass
HV Current	19.383	Amps	28.000	10.000	0	Pass
LV Current	0.278	Amps	0.350	0.250	0	Pass
Suction Temp	23.939	deg	35.000	0.000	0	Pass
Discharge Temp	49.724	deg	75.000	0.000	0	Pass
DUT Speed	8600.000	RPM	8800.000	8400.000	0	Pass
DUT Current	25.000	A_pk	27.000	16.000	0	Pass
DUT Temperature	43.972	deg	60.000	30.000	0	Pass
Test Summary						Pass
(T4-T5) Rattle Check	 	 	 	 	 	 
HV Current	15.294	Amps	17.000	9.000	0	Pass
(T3-T4) Vibration Analysis	 	 	 	 	 	 
Test Summary						Pass
ACC_Total t3_t4	31.801	dB	369.373	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_0	3.213	m/s^2	59.871	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_1	8.580	m/s^2	175.312	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_2	3.701	m/s^2	126.119	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_3	3.023	m/s^2	51.328	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_4	16.056	m/s^2	183.859	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_5	19.629	m/s^2	210.532	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_6	3.809	m/s^2	183.048	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_7	4.708	m/s^2	67.361	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_8	1.921	m/s^2	59.173	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_9	1.600	m/s^2	12.710	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_10	0.548	m/s^2	11.440	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_11	0.353	m/s^2	15.763	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_12	0.559	m/s^2	10.462	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_13	0.355	m/s^2	12.892	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_14	0.483	m/s^2	7.907	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_15	0.124	m/s^2	8.024	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_16	0.171	m/s^2	9.149	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_17	0.106	m/s^2	8.173	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_18	0.363	m/s^2	11.568	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_19	0.172	m/s^2	8.814	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_0	1.051	m/s^2	79.438	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_1	3.609	m/s^2	76.733	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_2	1.958	m/s^2	78.988	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_3	2.491	m/s^2	98.822	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_4	16.682	m/s^2	272.846	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_5	57.517	m/s^2	517.531	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_6	14.948	m/s^2	265.778	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_7	2.791	m/s^2	79.379	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_8	3.413	m/s^2	71.243	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_9	1.981	m/s^2	36.375	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_10	0.830	m/s^2	15.438	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_11	0.315	m/s^2	15.919	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_12	0.605	m/s^2	9.555	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_13	0.196	m/s^2	6.780	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_14	0.487	m/s^2	10.969	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_15	0.147	m/s^2	8.699	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_16	0.493	m/s^2	10.952	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_17	0.415	m/s^2	9.362	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_18	0.364	m/s^2	8.529	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_19	0.298	m/s^2	8.554	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_0	5.093	m/s^2	42.335	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_1	6.401	m/s^2	90.679	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_2	2.715	m/s^2	46.402	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_3	1.367	m/s^2	30.943	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_4	2.391	m/s^2	48.981	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_5	0.896	m/s^2	79.068	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_6	1.989	m/s^2	86.971	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_7	2.335	m/s^2	55.565	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_8	10.251	m/s^2	85.816	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_9	8.049	m/s^2	90.556	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_10	2.813	m/s^2	40.864	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_11	2.930	m/s^2	41.050	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_12	2.988	m/s^2	46.831	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_13	1.760	m/s^2	36.071	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_14	0.474	m/s^2	27.680	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_15	1.373	m/s^2	26.493	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_16	0.942	m/s^2	26.811	0.000	0	Pass
Narrow Band TOP Z t3_t4_Band_17	1.641	m/s^2	58.673	0.000	0	Pass
